"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000091106.18"	51.6060545198934	-1.17653107962083	0.288107293535071	-4.08365600601367	4.43326428395986e-05	0.00036043191956606
"ENSG00000092345.13"	37.4667883733844	-8.67124630601008	1.21861729447132	-7.11564356205199	1.11391829892169e-12	3.1737910364108e-11
"ENSG00000092607.13"	37.8085861588337	-1.64453096801145	0.340864958702607	-4.82458206989312	1.40297139508882e-06	1.59321758337046e-05
"ENSG00000095370.19"	120.221237351719	-1.8939963409803	0.188470978912525	-10.0492731130736	9.25475323476639e-24	6.34275763587044e-22
"ENSG00000095585.16"	30.8579380574223	-1.35525093249103	0.376840438494347	-3.59635217999927	0.000322710827631552	0.00211181965602088
"ENSG00000096433.10"	385.709485096549	-1.09576693195403	0.106720596813528	-10.2676237265489	9.86034769455986e-25	7.26856676856537e-23
"ENSG00000099377.13"	71.4273265585146	-1.62541651795068	0.246278351549835	-6.59991634555737	4.11389849822382e-11	9.88817422919048e-10
"ENSG00000099399.5"	297.488499292755	-3.01982278187506	0.145383679932066	-20.7714014618845	7.85332208472979e-96	4.52601230510405e-93
"ENSG00000099957.16"	55.8084260046188	1.12751014401984	0.291160165290427	3.87247391103508	0.000107736211104655	0.000801165642578252
"ENSG00000100122.5"	81.7579993782405	1.18703759274369	0.21975900452054	5.40154245480639	6.6070297490127e-08	9.50317982844379e-07
"ENSG00000100290.2"	110.011886532943	-1.2755956274731	0.196488938466674	-6.49194625115982	8.47344918077903e-11	1.95691916508374e-09
"ENSG00000100292.16"	119.253960060897	-1.8433427593557	0.20830909390937	-8.84907482799428	8.82477914778437e-19	4.25434885227217e-17
"ENSG00000100302.6"	70.1150345805987	-2.99205967513991	0.284073214118804	-10.5327060998035	6.10536245548857e-26	4.85328467543195e-24
"ENSG00000100439.10"	129.766334386277	-1.4666122937569	0.186121241217987	-7.87987595698004	3.27706239032342e-15	1.18883759790874e-13
"ENSG00000100599.15"	93.1025021961342	-1.34296073437363	0.204386396573935	-6.57069529521172	5.00808505647251e-11	1.18909195563699e-09
"ENSG00000100852.12"	78.1865755079555	-1.62316610936899	0.239756946676807	-6.77004830044411	1.28739409196672e-11	3.25156766773825e-10
"ENSG00000101210.10"	660.574936320314	-1.13767109468272	0.0875055116810994	-13.0011364178841	1.20538649373715e-38	1.65222652476684e-36
"ENSG00000101298.13"	31.2563553440872	-1.83839019951023	0.369080156589094	-4.98100525506429	6.3254821955663e-07	7.65274701885355e-06
"ENSG00000101335.9"	345.035289956787	-1.03587324321414	0.111631277979916	-9.27941757865131	1.70407485582987e-20	9.25308997733056e-19
"ENSG00000101605.12"	26.2086785777756	-1.65107806669771	0.413589286828753	-3.99207165001192	6.54985747830004e-05	0.000513717731867749
"ENSG00000102445.18"	214.880518815977	-1.30315545889163	0.152398241554266	-8.55098750222521	1.22039839564558e-17	5.37271918694109e-16
"ENSG00000102524.11"	1406.97952084858	-1.60389322059018	0.0738466695178819	-21.7192356955488	1.35006353533326e-104	1.00690915085238e-101
"ENSG00000102962.4"	31.9293668388009	1.59758438831674	0.367344119700103	4.34901309872879	1.36751545011062e-05	0.000126606267922253
"ENSG00000102981.9"	62.4024568194112	-1.49777107568079	0.257900393799611	-5.80755637327392	6.33912112408436e-09	1.10478854310147e-07
"ENSG00000102996.4"	104.987737499943	-1.86113574620702	0.208363499806081	-8.93215821359851	4.177774475274e-19	2.08133605390959e-17
"ENSG00000103888.15"	46.1678871650264	-1.51049525309276	0.297804701394169	-5.07210009117184	3.93449339964628e-07	4.90756928815694e-06
"ENSG00000104081.13"	822.506516891178	-1.281773975589	0.077554795904092	-16.5273334891386	2.33235751584903e-61	6.42868716161953e-59
"ENSG00000104490.17"	21.0055223686146	-4.32278911209324	0.689740472648651	-6.2672690432293	3.67435005447949e-10	7.7580490159443e-09
"ENSG00000104879.4"	78.6320978985135	-6.54551674512174	0.67151002485694	-9.74745946125855	1.89142345912792e-22	1.17268254465931e-20
"ENSG00000104921.14"	34.3345351536789	-1.42160918978829	0.338815755206556	-4.19581783887711	2.71888708087931e-05	0.00023458842666532
"ENSG00000105146.12"	28.0060708377578	-2.73054840271673	0.439233930007896	-6.21661537547347	5.07992900209729e-10	1.04559123080506e-08
"ENSG00000105255.10"	32.1014738559441	1.68614881117179	0.355021991673373	4.74942074214683	2.04000127145305e-06	2.25699617109539e-05
"ENSG00000105464.3"	261.715214566784	-3.08139570411362	0.153644347766505	-20.0553795105854	1.81156280146529e-89	9.57033531657433e-87
"ENSG00000105612.8"	65.799589736506	-5.12534641721363	0.477960051692109	-10.7233782385547	7.90617873469848e-27	6.55179347563673e-25
"ENSG00000105639.18"	55.4102711507248	-2.56811789332796	0.306193731156545	-8.38723210833792	4.97721697980763e-17	2.06905357662233e-15
"ENSG00000105880.4"	20.8021645770929	-3.10567910642145	0.549941150727082	-5.64729353734559	1.62993398022135e-08	2.6326029216849e-07
"ENSG00000105928.13"	22.7063696034795	-1.42439695572041	0.432360868891963	-3.29446316307671	0.000986098685351964	0.0056141648996756
"ENSG00000106034.17"	112.768846643702	-1.51999427578742	0.201879094930608	-7.52923068289904	5.10401424062297e-14	1.66788135455821e-12
"ENSG00000106330.11"	1276.77971828934	-1.12969273253746	0.0741154250627691	-15.2423430288731	1.85111251706644e-52	4.04659579377335e-50
"ENSG00000106333.12"	264.025832907661	-1.96576337637387	0.13609405509213	-14.4441531633629	2.72890665303915e-47	5.28241335173792e-45
"ENSG00000106366.8"	26.7212338076313	-1.40192235389873	0.392883511941456	-3.56829011981453	0.000359318513811862	0.00232142646452005
"ENSG00000106484.14"	51.610384005433	-2.55702109215251	0.309060583349771	-8.27352703614963	1.30053294258001e-16	5.2181826515734e-15
"ENSG00000106537.7"	33.4810703265302	-1.30061771626366	0.346923816645116	-3.74900094447573	0.000177540416999699	0.00124676540965892
"ENSG00000106571.12"	38.0136350198546	-1.69026451131484	0.392836055708874	-4.30272243790033	1.68712151837299e-05	0.000152683895299437
"ENSG00000106733.20"	54.5133810655799	-1.41994393161938	0.266179146010751	-5.33454236704942	9.57858221712766e-08	1.34047289107022e-06
"ENSG00000106789.12"	38.2354009320816	-1.43503317954713	0.329599109006659	-4.35387457166379	1.3375225253258e-05	0.00012405594805125
"ENSG00000107201.9"	1342.04298123241	-1.12770708494646	0.0776951151318816	-14.5145172001131	9.80455741151297e-48	1.92731757241198e-45
"ENSG00000107249.21"	52.931585663905	-2.01670329610183	0.301787827314144	-6.68252034566843	2.34867340696699e-11	5.78791644838377e-10
"ENSG00000107282.7"	30.2469118747771	-2.06724578451478	0.380646011751564	-5.43088780833991	5.60743804999213e-08	8.2050440895384e-07
"ENSG00000107317.11"	35.2134639752488	-3.10535703769794	0.438572065482676	-7.08060836998431	1.43522976232292e-12	4.03487320543066e-11
"ENSG00000107438.8"	26.1989515991189	-2.77820356580625	0.45821926859166	-6.06304395348776	1.33569143690034e-09	2.58355937886489e-08
"ENSG00000107731.12"	547.405501429639	-1.19468673432777	0.09386821635378	-12.7272763959327	4.17137807044541e-37	5.48071529069196e-35
"ENSG00000108370.16"	29.3581545337879	-1.17728541817285	0.376717856904924	-3.12511179545698	0.00177737496680842	0.00934107241623377
"ENSG00000108679.12"	469.119676861331	-3.46381629818097	0.14368281713283	-24.1073801815759	2.09170511154804e-128	2.12165832874541e-125
"ENSG00000108691.9"	24.115271396548	-1.8782602764722	0.449868384792669	-4.17513286099852	2.97812191607562e-05	0.000253931457793697
"ENSG00000108771.12"	408.198145278887	-1.4484017944001	0.118881816233929	-12.1835436257974	3.80387804812496e-34	4.50741773571742e-32
"ENSG00000109501.13"	45.2280350051861	-1.18362104414387	0.286739437836229	-4.12786274910638	3.66150541665605e-05	0.00030479634800217
"ENSG00000109654.14"	30.0624512309044	-1.4244074495788	0.391725678786956	-3.63623710855442	0.000276649702417226	0.00184855946084217
"ENSG00000109705.7"	38.2908559753113	-1.25049016833954	0.324236864684438	-3.85671804949314	0.00011491958713665	0.00085009652584923
"ENSG00000110042.7"	1332.63491274781	-2.45630473422509	0.0894608282199094	-27.456762731808	5.76894726615471e-166	1.12529972903962e-162
"ENSG00000111057.10"	138.166679172245	-1.03445854850903	0.179015979078057	-5.77858219046451	7.53327412075906e-09	1.29423282624802e-07
"ENSG00000111077.17"	188.961304360638	-1.31021911454757	0.156556210439212	-8.36900120967291	5.81086540249547e-17	2.40378344007308e-15
"ENSG00000111331.12"	5400.98898153968	-2.6563353137455	0.139243808387075	-19.076864849612	3.93145433730591e-81	1.74901436991935e-78
"ENSG00000111335.12"	8867.45335552527	-1.54590675294908	0.0683707220087309	-22.6106542030033	3.40455637125079e-113	2.87775801540591e-110
"ENSG00000111490.12"	404.096851013549	-2.48382905599635	0.515461392043286	-4.81865197731002	1.44531410504642e-06	1.63909995866579e-05
"ENSG00000111674.8"	1415.35524023571	-1.00207375320141	0.0886465965464959	-11.3041424289291	1.25171028879202e-29	1.17558775937734e-27
"ENSG00000112232.8"	33.326863788517	-1.36239984036605	0.339806094624815	-4.00934492322835	6.08874239027516e-05	0.000479497917803098
"ENSG00000112297.14"	349.885330755232	-1.85480580588202	0.129216606441403	-14.3542370981793	1.00222308486602e-46	1.84162123087193e-44
"ENSG00000112379.8"	517.505762565524	-1.02658580552305	0.0960497624483259	-10.6880618895372	1.15764764556158e-26	9.43910900197768e-25
"ENSG00000112773.15"	612.102492288787	-1.33517123949068	0.0872854129120717	-15.2966136602422	8.05395553314924e-53	1.77593221225738e-50
"ENSG00000112799.8"	1183.50283607433	-1.07958675111051	0.0693180340502715	-15.5743994460021	1.0866886152553e-54	2.55150462089294e-52
"ENSG00000113140.10"	38.3398313824791	-5.22351916848522	0.651873001366736	-8.01309328279195	1.11858730667893e-15	4.19602617200654e-14
"ENSG00000113916.17"	501.315686949916	-1.39261757467916	0.103146027129423	-13.5014174897087	1.5339607628476e-41	2.31536768001722e-39
"ENSG00000114013.15"	803.666276866697	-2.8347009888819	0.104885599763855	-27.0265984583592	7.19733347315104e-161	1.30364273008689e-157
"ENSG00000115165.9"	186.885997143896	-1.22029148115907	0.15693121168586	-7.77596418233111	7.48748921279975e-15	2.64071976993291e-13
"ENSG00000115267.5"	769.318602378704	-1.53606059564449	0.0942029060620305	-16.3058727151477	8.96492771834473e-60	2.36804830293527e-57
"ENSG00000115415.18"	16784.744433868	-1.15276282121058	0.0543224452028186	-21.220746174194	6.14412357096323e-100	4.21088339222934e-97
"ENSG00000115461.4"	1438.30412544035	-4.96985852213164	0.120083241352732	-41.3867785891387	0	0
"ENSG00000115738.9"	1291.93681024404	-1.26457389620575	0.0909769601920223	-13.8999356929123	6.33982997424863e-44	1.05766716109866e-41
"ENSG00000115844.10"	31.9423582672732	-1.66382762235128	0.353993499442217	-4.70016433909932	2.59952209352101e-06	2.80624441240978e-05
"ENSG00000115884.10"	61.5752258707986	-1.35397121853666	0.2585654775838	-5.23647329561945	1.63673910811965e-07	2.17756717228216e-06
"ENSG00000116016.13"	726.875786554236	-1.11068412478502	0.0826454944392683	-13.4391370312534	3.56570613798155e-41	5.28767112555182e-39
"ENSG00000116147.16"	40.4749290318919	-1.87755066107824	0.341762632989447	-5.49372716570866	3.93538321448207e-08	5.92245979542055e-07
"ENSG00000116663.10"	300.824205569118	-1.06425576849327	0.13556070082436	-7.85076915375483	4.13493447464666e-15	1.48307876107624e-13
"ENSG00000116701.14"	162.798992570401	-1.30274185395743	0.18480872774864	-7.04913598955835	1.800321412068e-12	5.02228276867109e-11
"ENSG00000116741.7"	382.310981975779	-1.25998465715229	0.109654135711876	-11.4905347524966	1.47197903906577e-30	1.46954505797755e-28
"ENSG00000116774.11"	33.0331646673498	-3.23886898810527	0.444110513682219	-7.29293472755482	3.03275044911707e-13	9.18811061991764e-12
"ENSG00000116962.14"	110.183524111272	-3.14977709254912	0.242180749051524	-13.0058937586282	1.13266862018646e-38	1.56098972123306e-36
"ENSG00000116990.10"	121.906087044623	-1.04372631383175	0.185750765884318	-5.61896102480551	1.92109182892154e-08	3.07350451721087e-07
"ENSG00000117228.9"	28.7436244603743	-2.56184650730402	0.422301577923801	-6.06639103718023	1.30816404812794e-09	2.53611803764742e-08
"ENSG00000117245.12"	57.4353862267441	-2.84870301695223	0.331840549451902	-8.58455370103928	9.11897446100852e-18	4.04971899093264e-16
"ENSG00000117266.15"	598.986858160961	-1.11652716597039	0.0885523991099432	-12.6086608289873	1.8918021831014e-36	2.39861598795427e-34
"ENSG00000117594.9"	1095.83436401713	1.11783221437935	0.0829947771582711	13.4687055336945	2.39019674404936e-41	3.56532994327081e-39
"ENSG00000117834.12"	61.7588746878074	1.11858101321647	0.257813420745428	4.33872298029429	1.4331303127907e-05	0.00013200624217852
"ENSG00000118515.11"	33.4681728657663	-1.91938153754716	0.360843414245427	-5.31915357679686	1.04251109754162e-07	1.45093284365864e-06
"ENSG00000118785.13"	74.2081865196759	-1.98261694138425	0.260979511115646	-7.59682985422449	3.03473118373773e-14	1.00990437476669e-12
"ENSG00000119514.6"	262.79125455742	-1.67046804235155	0.139693678788387	-11.9580789684982	5.89089722943945e-33	6.60979521876662e-31
"ENSG00000119630.13"	24.5419443458535	-3.63023918256409	0.557815092108431	-6.50796156992186	7.61773986894179e-11	1.76572804018854e-09
"ENSG00000119714.10"	48.1514331338477	-1.43686265525079	0.284933436896067	-5.04280112191571	4.58765999479072e-07	5.68869839354049e-06
"ENSG00000119782.13"	75.5681381344427	-1.37879110565314	0.231290932716735	-5.96128473113021	2.50262451220835e-09	4.64239593127867e-08
"ENSG00000119865.8"	228.726980387049	-1.17684310814435	0.133296157712098	-8.8287849278159	1.0581897695591e-18	5.06293890122256e-17
"ENSG00000119866.20"	27.1411879222807	-1.66791369113037	0.387852219117675	-4.30038455091145	1.70501979429684e-05	0.000154193623194648
"ENSG00000119917.13"	1197.10119338243	-1.98394139715222	0.0793537737150497	-25.0012230581034	5.9290028141893e-138	7.91303438748486e-135
"ENSG00000119922.9"	349.353072628583	-2.07997067382393	0.133898450454124	-15.5339413321782	2.04420209734087e-54	4.75567676920823e-52
"ENSG00000120332.15"	247.418983065231	-1.50486491514395	0.12927540895424	-11.6407670052441	2.55705634207005e-31	2.67941465794266e-29
"ENSG00000120341.18"	51.990888539838	-1.37118952016581	0.286679976762834	-4.78299717911648	1.72700550207164e-06	1.93348368748489e-05
"ENSG00000120594.16"	510.083505462171	-1.90628349870733	0.107345752629053	-17.7583504891408	1.4853597787905e-70	5.30503567191119e-68
"ENSG00000120708.16"	744.753446846734	-3.06199006319636	0.10379163648088	-29.5013179001221	2.7690431844075e-191	7.80193300780059e-188
"ENSG00000120885.20"	22.7057033785603	-1.88703646559123	0.439786978269523	-4.29079658751235	1.78033336115051e-05	0.000160432456901402
"ENSG00000121297.6"	50.2490949211869	-1.20995668504087	0.27985797532333	-4.32346687151925	1.53596211780371e-05	0.000140210393694206
"ENSG00000121310.16"	50.514864166338	-3.29697341643238	0.359841562259933	-9.16229185902322	5.08066122369465e-20	2.67849079647503e-18
"ENSG00000121440.14"	99.9831433411104	-2.539844389512	0.248705289213898	-10.2122652780722	1.74736930300309e-24	1.25880087458956e-22
"ENSG00000121895.7"	36.0169923766574	-1.03121898474347	0.327173849365563	-3.1518991714746	0.00162212276425063	0.00864882023882831
"ENSG00000122223.12"	707.468708189249	-1.15230160970554	0.0860692398131436	-13.3880769971617	7.09951695293276e-41	1.03465259133603e-38
"ENSG00000122386.10"	30.9136846495669	-3.61569164184007	0.479899293575864	-7.53427164874226	4.9106803223884e-14	1.60677460148548e-12
"ENSG00000122420.9"	25.0100649984269	-4.1513701406936	0.62575426449893	-6.6341859356209	3.26298303583385e-11	7.92554825887689e-10
"ENSG00000122641.10"	68.5422568200654	-1.06683464889141	0.236577680879025	-4.50944757310788	6.49966540294685e-06	6.45334828848575e-05
"ENSG00000122986.13"	103.633180145403	-1.05712296644562	0.193822217959026	-5.45408559233957	4.92254886599564e-08	7.31259485318789e-07
"ENSG00000123405.13"	119.789895888949	-1.85269072322375	0.198075549167008	-9.3534549368415	8.48304533421007e-21	4.71739174528287e-19
"ENSG00000124107.5"	377.283777522957	-2.59830129665853	0.146749165454499	-17.7057313314954	3.78729088018606e-70	1.33386280749664e-67
"ENSG00000124406.16"	74.323132258201	-1.08445971832258	0.227982043261809	-4.75677690578995	1.96708351180723e-06	2.18108017894218e-05
"ENSG00000124635.8"	22.5281254966335	-2.28699203666099	0.460369591116844	-4.9677304513376	6.77410329108673e-07	8.14112375617902e-06
"ENSG00000124785.8"	60.4805374154317	-2.30780764589996	0.286340123870393	-8.05967258345026	7.64990685298e-16	2.90594807992494e-14
"ENSG00000125266.6"	43.7412543277269	-1.40423386987413	0.300978898445762	-4.66555588157681	3.07783833114615e-06	3.27453904608854e-05
"ENSG00000125384.6"	42.2443454926881	-1.88556800736559	0.314187227253553	-6.00141521935236	1.95605068991072e-09	3.6933383019178e-08
"ENSG00000125730.16"	142.66534794968	-2.88704516596736	0.208748523939738	-13.830254276676	1.67427631051488e-43	2.72155760782285e-41
"ENSG00000125810.9"	63.6933973126004	-6.23844846233999	0.679343994866665	-9.18304792487995	4.19058734857294e-20	2.21847419593137e-18
"ENSG00000126561.16"	235.75144962586	-1.04050554187293	0.133401247081231	-7.79981870213962	6.19961778370632e-15	2.19873996866049e-13
"ENSG00000126709.14"	5446.8387796872	-2.7529785243614	0.137955282159654	-19.9555861962242	1.34041857091747e-88	6.79806682426503e-86
"ENSG00000127561.14"	46.1421277372669	-2.40461894184121	0.323086264401235	-7.44265295925721	9.86830902848821e-14	3.15164458872045e-12
"ENSG00000127824.13"	250.234608887153	-1.66531135730613	0.13380911502648	-12.445425388073	1.48093259571154e-35	1.81417820106537e-33
"ENSG00000127920.5"	364.918054392388	-1.56249640297662	0.128159498584211	-12.1918111434397	3.43696817229617e-34	4.09176708512142e-32
"ENSG00000127951.6"	79.9093306882572	-2.45461303800791	0.246695769692723	-9.94995998944492	2.52284623540299e-23	1.65736618749609e-21
"ENSG00000128512.19"	43.2810581649645	-1.38231376679672	0.31400883783337	-4.40214923992123	1.07183785393668e-05	0.000101568252242625
"ENSG00000128573.23"	22.158309681468	-1.37704279100346	0.416964459880601	-3.30254235912044	0.000958126156031946	0.00547580866906876
"ENSG00000128591.15"	53.6296722708665	-1.02794449253005	0.281318076018612	-3.65402930049202	0.000258156788051205	0.0017405849059831
"ENSG00000128641.18"	198.632843214215	-1.65105785384443	0.162282090806778	-10.1739991494827	2.59049300974961e-24	1.85041469693608e-22
"ENSG00000128833.12"	50.898924321932	-3.61912622845411	0.374995870475144	-9.65110955453576	4.86267101270007e-22	2.92198131611489e-20
"ENSG00000129009.12"	32.9336701848637	-2.66036331494106	0.390441849735489	-6.81372480112817	9.51035563107566e-12	2.44836140195753e-10
"ENSG00000129422.14"	39.5665582403531	-1.00574870410031	0.319189625606551	-3.15094421439639	0.00162743570788581	0.0086662147586242
"ENSG00000129465.15"	63.7248969811624	-1.40253846936368	0.255090995035357	-5.49818886852232	3.83711831944337e-08	5.78487790395036e-07
"ENSG00000130529.15"	188.281567357017	-1.15043959942575	0.146146119289677	-7.8718450070197	3.49448928963321e-15	1.26543101490268e-13
"ENSG00000130589.16"	2042.83379038136	-1.44053870448671	0.075887274346136	-18.9826122613937	2.37489297380499e-80	1.02072094965673e-77
"ENSG00000130592.14"	872.820460437907	-2.23302454527064	0.0905832497535406	-24.6516276612538	3.53515158163346e-134	4.26877970509816e-131
"ENSG00000130600.16"	93.55464012916	-9.02670466017251	1.1907411101746	-7.58074495206511	3.43576424313713e-14	1.14186251215559e-12
"ENSG00000130720.12"	20.6959587690318	-1.71559062312495	0.435581760985711	-3.93861905338417	8.19519274657127e-05	0.000625568024285232
"ENSG00000130751.9"	226.721827406043	1.55410449514847	0.155141740737438	10.0173202115776	1.27924425517405e-23	8.58176609066232e-22
"ENSG00000130812.10"	167.268686743823	-1.03059908408841	0.160164813508937	-6.4346160777124	1.23785809346443e-10	2.79266953150099e-09
