	SRR1171523	SRR1171525	SRR1171524	SRR1171527	SRR1171526	SRR1171528
ENSG00000000419.12	1234.26964496101	1221.37384637193	1210.53682681256	1362.11505962562	1396.48822552175	1379.27966478923
ENSG00000000457.13	1318.90527775834	1424.93615410058	1453.04174121508	1310.99815893326	1340.74813954227	1327.2313755519
ENSG00000000460.16	1462.98736692521	1468.76535911393	1426.2071810148	1487.4015809304	1518.91734294098	1541.43010433629
ENSG00000000938.12	207.558813764872	204.536290062284	166.970596801733	56.1283615445434	35.8329124153835	47.0436460414322
ENSG00000000971.15	214.611783164649	167.524961384347	244.492659602537	42.0962711584076	43.7957818410243	56.0520037940469
ENSG00000001036.13	4054.44983781478	3986.50969154728	4079.84702304234	4524.34685735838	4302.93556588063	4552.22345098795
ENSG00000001084.10	711.342342320386	748.992414561412	766.275774607952	490.120871344317	506.637567206394	520.482892373293
ENSG00000001167.14	3560.74197983037	3754.70189614336	3895.98059204043	3988.1205461739	3935.64821362295	4299.98943391474
ENSG00000001460.17	148.112357395321	195.770449059615	187.841921401949	168.38508463363	185.136714146148	162.150439547064
ENSG00000001461.16	920.91629019948	946.710828288287	1007.78681641046	807.84748937325	777.375127678181	779.72340992076
ENSG00000001497.16	2924.96716679332	2856.69018453657	2823.5920566293	3347.65584926384	3318.52583313579	3206.97535993083
ENSG00000001617.11	627.714276580171	666.203916202868	655.955916006807	546.24923288886	508.628284562805	469.435531775143
ENSG00000001629.9	2912.87636210798	2987.20381724298	3365.25262363492	2751.29200785307	2691.44986586658	3100.87692417781
ENSG00000001630.15	4436.31775245986	4547.52351571812	4786.49044164967	3978.09762446952	3933.65749626654	4177.87613993485
ENSG00000001631.15	1851.90825097007	2314.1820247047	2115.95476542196	2268.18718170182	2341.08361113839	2317.14979970033
ENSG00000002016.17	386.905749930635	352.581604774033	402.518403004177	383.87790127786	396.152753925629	439.407672599761
ENSG00000002079.12	0	2.92194700088977	1.98774520002063	2.00458434087655	4.97679339102548	5.00464319589704
ENSG00000002330.13	392.951152273301	364.269392777592	406.493893404218	419.960419413638	358.329124153835	387.359383362431
ENSG00000002549.12	6069.58395203684	5405.60195164608	5762.4733348598	3997.14117570784	3784.35369453578	3691.42482129366
ENSG00000002586.18	5068.06229726847	4348.83111965761	4522.12033004693	4691.72964982157	4834.45710004216	4610.27731206036
ENSG00000002587.9	51.3859199126625	53.5690283496458	63.6078464006601	39.0893946470928	42.8004231628192	43.0399314847146
ENSG00000002726.20	3.02270117133309	2.92194700088977	7.95098080008251	2.00458434087655	5.97215206923058	4.00371455671764
ENSG00000002746.14	2.01513411422206	4.86991166814962	4.96936300005157	2.00458434087655	0.995358678205097	3.00278591753823
ENSG00000002822.15	1313.86744247278	1153.19508301783	1140.96574481184	1793.10069291408	1818.52030508071	1776.64833454345
ENSG00000002834.17	9684.73455295121	9724.23961896117	10126.5679215051	9791.39221301152	9870.97201175995	9789.08209117462
ENSG00000002919.14	1375.32903295655	1188.25844702851	1355.64222641407	1136.599321277	1122.76458901535	1214.12643932462
ENSG00000002933.7	7.0529693997772	3.8959293345197	4.96936300005157	1.00229217043828	0	0
ENSG00000003056.7	9327.04824767679	9719.36970729302	9730.01275410097	10480.9692262731	10372.6327855753	10486.7293526827
ENSG00000003096.13	248.869063106424	286.350806087198	243.498787002527	246.563873927816	202.057811675635	227.210801093726
ENSG00000003147.17	335.519830017972	328.232046433285	351.830900403651	252.577626950446	211.016039779481	251.233088434032
ENSG00000003249.13	175.316667937319	190.900537391465	170.946087201774	172.394253315383	162.243464547431	190.176441444088
ENSG00000003393.14	835.273090345043	955.476669290956	915.356664609499	1004.29675477915	928.669646765355	1005.93328237531
ENSG00000003400.14	604.540234266617	522.05453082564	665.89464200691	399.914576004872	467.818578756396	423.39281437289
ENSG00000003402.19	2196.49618450204	2293.72839569847	2518.47316842614	2199.02902194158	2097.22073497814	2191.03279116373
ENSG00000003436.14	26.1967434848867	25.323540674378	26.8345602002785	16.0366747270124	16.9210975294866	13.0120723093323
ENSG00000003509.15	448.367340414408	497.704972484891	517.807624605373	588.345504047268	549.437990369213	603.559969425184
ENSG00000003756.16	6059.50828146573	6170.17808354557	6610.2466626686	5250.00638875569	5434.65838299983	5227.85028243405
ENSG00000003987.13	72.5448281119941	69.1527456877246	93.4240244009695	68.1558675898028	89.5822810384587	63.0585042683028
ENSG00000003989.16	1557.69867029365	1682.06749017888	1645.85302561708	2191.01068457807	2208.70090693711	2341.17208704064
ENSG00000004059.10	4243.87244455165	3815.08880082841	3611.73302843748	3791.671280768	3749.5161407986	3707.43967952053
ENSG00000004139.13	642.827782436836	701.267280213546	700.680183007271	528.207973820971	433.976383697422	569.528395693084
ENSG00000004142.11	3662.50625259859	3459.58524905349	3459.6705206359	4160.51479948928	3818.19588959475	4291.98200480131
ENSG00000004399.12	7297.80819465518	7238.6367035376	7181.72340767453	4380.01678481527	4522.90983376396	4256.94950243003
ENSG00000004455.16	27042.0922458029	27049.4373695703	26793.811423678	27682.3074553347	26955.3083644722	27119.1605499269
ENSG00000004468.12	1029.73353236747	1248.64535171356	1045.55397521085	1542.52765030451	1432.32113793713	1551.43939072808
ENSG00000004478.7	7768.34201032603	7397.39582391928	7256.2638526753	8977.53097061564	8831.81755171383	9030.37818267663
ENSG00000004487.15	5585.95176462354	5552.6732840242	5553.76008885763	6507.88306265573	6225.96853217288	6481.01293868667
ENSG00000004534.14	4121.95683064122	4270.91253296722	4270.67056224432	4609.54169184563	4312.88915266268	4681.3432454421
ENSG00000004660.14	272.043105419978	300.960541091647	249.462022602589	318.728910199372	310.55190759999	392.364026558328
ENSG00000004700.15	3868.04993224924	3828.72455349923	3893.99284684041	3540.09594598799	3424.03385302553	3614.35331607685
ENSG00000004766.15	1062.98324525214	1093.78216066641	1077.35789841118	900.058369053572	949.572179007662	986.915638230897
ENSG00000004776.11	151.135058566654	125.64372103826	146.099272201516	19.0435512383272	10.9489454602561	5.00464319589704
ENSG00000004777.18	484.639754470405	464.589573141474	429.352963204456	490.120871344317	539.484403587163	487.452247280372
ENSG00000004779.9	2095.73947879094	1763.88200620379	1743.25254041809	2003.58204870611	2018.58739939994	2017.87213658569
ENSG00000004799.7	88.6659010257705	90.580357027583	68.5772094007117	48.1100241810372	60.7168793705109	54.0501465156881
ENSG00000004809.13	8.06053645688823	15.5837173380788	6.9571082000722	20.0458434087655	15.9257388512816	8.00742911343527
ENSG00000004838.13	66.4994257693279	54.5430106832758	61.6201012006395	45.1031476697224	46.7818578756396	52.0482892373293
ENSG00000004848.7	34.257279941775	62.3348693523152	41.7426492004332	67.1535754193645	55.7400859794854	79.0733624951733
ENSG00000004864.13	1562.73650557921	1533.0481931335	1464.9682124152	1846.2221779473	1856.34393485251	1893.75698532744
ENSG00000004866.19	692.198568235277	723.668873887034	733.477978807612	755.72829651046	676.843901179466	770.715052168145
ENSG00000004897.11	3915.40558393346	4180.33217593964	4316.38870184479	4911.23163514755	4866.30857774472	5224.84749651652
ENSG00000004961.14	967.264374826587	961.320563292736	845.785582608777	1043.38614942625	929.665005443561	936.869206271927
ENSG00000004975.11	2403.0474312098	2199.25210933637	2362.43517022452	1947.45368716157	2018.58739939994	1857.72355431698
ENSG00000005007.12	4250.92541395143	4625.44210240851	4354.15586064518	5506.59318438789	5125.10183407804	5404.01372292963
ENSG00000005020.12	3869.05749930635	4346.88315499035	4065.93280664219	3221.36703578862	3434.98279848579	3392.14715817902
ENSG00000005022.5	14117.0220371826	13018.2478712976	12663.9246693314	14277.6519678932	13649.3535542265	14101.0826687595
ENSG00000005059.15	1126.45996985013	975.930298297184	1036.60912181076	720.64807054512	780.361203712796	778.72248128158
ENSG00000005073.5	1797.49962988607	1824.26891088885	1749.21577601815	1812.1442441524	1685.14224220123	1748.62233264643
ENSG00000005075.15	1842.84014745607	1679.14554317799	1523.60669581581	1599.65830401949	1681.16080748841	1723.59911666694
ENSG00000005100.12	2370.80528538225	2523.58822643513	2582.0810148268	3454.90111150074	3270.74861658195	3623.36167382946
ENSG00000005108.15	2126.97405756138	2438.85176340933	2522.44865882618	2027.63706079663	1980.76376962814	2004.86006427636
ENSG00000005156.11	2240.82913501493	2238.21140268157	2230.25011442314	2834.48225799944	2732.25957167299	2895.68655314603
ENSG00000005175.9	1395.48037409877	1375.26305508545	1455.0294864151	1517.47034604355	1495.02873466406	1497.3892442124
ENSG00000005187.11	184.384771451318	195.770449059615	208.713246002166	179.410298508451	253.8164629423	221.205229258649
